number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,system_attrs_tpe:relative_params:0,state
0,0.11598546802997589,2026-09-10 01:06:06.628658,2026-09-10 01:07:22.026234,0 days 00:01:15.397576,512,0.3150926202886828,32,0.00016911122729830385,1,,COMPLETE
1,0.11066950857639313,2026-09-10 01:07:22.027331,2026-09-10 01:24:30.479392,0 days 00:17:08.452061,512,0.33617897394950613,64,0.0013372273036890987,3,,COMPLETE
2,0.11125048249959946,2026-09-10 01:24:30.480389,2026-09-10 01:39:55.067588,0 days 00:15:24.587199,128,0.11767621395291386,64,0.0020099920914005026,3,,COMPLETE
3,0.11410436034202576,2026-09-10 01:39:55.068525,2026-09-10 01:44:29.514107,0 days 00:04:34.445582,512,0.24974693695089215,64,0.00019030958179704595,2,,COMPLETE
4,0.10991127043962479,2026-09-10 01:44:29.515093,2026-09-10 01:49:01.310921,0 days 00:04:31.795828,128,0.31314747216596467,32,0.0009129075497431613,2,,COMPLETE
5,0.10849123448133469,2026-09-10 01:49:01.311941,2026-09-10 01:54:19.855277,0 days 00:05:18.543336,128,0.2127824672850486,128,0.0032609811006136117,1,,COMPLETE
6,0.11258140206336975,2026-09-10 01:54:19.856393,2026-09-10 01:56:43.159923,0 days 00:02:23.303530,128,0.33995526766515094,32,0.00011603408107054124,1,,COMPLETE
7,0.11056452989578247,2026-09-10 01:56:43.160921,2026-09-10 02:04:35.022947,0 days 00:07:51.862026,256,0.3374599335144751,128,0.005384200736166957,1,,COMPLETE
8,0.11148575693368912,2026-09-10 02:04:35.024075,2026-09-10 02:13:13.771444,0 days 00:08:38.747369,128,0.254664457917134,128,0.00044340175450770177,2,,COMPLETE
9,0.15250727534294128,2026-09-10 02:13:13.772457,2026-09-10 03:49:38.086668,0 days 01:36:24.314211,512,0.1981257061704076,128,0.0029836794875159616,2,,COMPLETE
10,0.10866277664899826,2026-09-10 03:49:38.087665,2026-09-10 03:54:40.114171,0 days 00:05:02.026506,128,0.10234008686730782,128,0.0008166986894655773,1,"{""batch_size"": 128, ""dropout"": 0.10234008686730782, ""hidden_size"": 128, ""learning_rate"": 0.0008166986894655773, ""num_layers"": 1}",COMPLETE
11,0.1086069792509079,2026-09-10 03:54:40.115170,2026-09-10 03:59:37.675369,0 days 00:04:57.560199,128,0.07274795015331958,128,0.0008591266900962266,1,"{""batch_size"": 128, ""dropout"": 0.07274795015331958, ""hidden_size"": 128, ""learning_rate"": 0.0008591266900962266, ""num_layers"": 1}",COMPLETE
12,0.10913802683353424,2026-09-10 03:59:37.676369,2026-09-10 04:01:33.235907,0 days 00:01:55.559538,128,0.14628050639346246,32,0.00808143993090887,1,"{""batch_size"": 128, ""dropout"": 0.14628050639346246, ""hidden_size"": 32, ""learning_rate"": 0.00808143993090887, ""num_layers"": 1}",COMPLETE
13,0.10866750776767731,2026-09-10 04:01:33.235907,2026-09-10 04:06:28.152525,0 days 00:04:54.916618,128,0.029825554279832994,128,0.00454076285751784,1,"{""batch_size"": 128, ""dropout"": 0.029825554279832994, ""hidden_size"": 128, ""learning_rate"": 0.00454076285751784, ""num_layers"": 1}",COMPLETE
14,0.10941573977470398,2026-09-10 04:06:28.152525,2026-09-10 04:19:27.424702,0 days 00:12:59.272177,128,0.027112277325040124,128,0.0007118954107338469,2,"{""batch_size"": 128, ""dropout"": 0.027112277325040124, ""hidden_size"": 128, ""learning_rate"": 0.0007118954107338469, ""num_layers"": 2}",COMPLETE
