number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse,system_attrs_tpe:relative_params:0,state
0,0.10625547826913981,2026-09-09 15:21:01.456389,2026-09-09 15:21:04.971155,0 days 00:00:03.514766,0.9914800720378383,0.01838666761539615,4,6,562,0.018449399037220888,0.028053244451948463,0.5499933421893097,3.7386043095820916,,COMPLETE
1,0.11359803452491479,2026-09-09 15:21:04.972156,2026-09-09 15:21:10.665398,0 days 00:00:05.693242,0.6356270248762039,0.273810005254419,8,3,666,2.6383695506825686e-07,2.0594363523032908e-08,0.7551434281665117,4.110906624333018,,COMPLETE
2,0.10446839677674112,2026-09-09 15:21:10.666403,2026-09-09 15:21:15.302995,0 days 00:00:04.636592,0.8332791691713883,0.01726758115540446,10,20,401,0.9779824149510004,0.10451717401552016,0.5016728427069221,3.6705687891719125,,COMPLETE
3,0.10766081728901983,2026-09-09 15:21:15.304120,2026-09-09 15:21:18.118183,0 days 00:00:02.814063,0.790583957170466,0.017502051961869162,3,6,494,1.7749959007932065e-07,0.1975095329587992,0.5311075789918182,3.8039502067971824,,COMPLETE
4,0.10520415890419818,2026-09-09 15:21:18.119183,2026-09-09 15:21:25.246404,0 days 00:00:07.127221,0.5354596814465271,0.040989970425031864,9,10,796,4.595110219000545e-08,9.098530249629893e-08,0.5529889179391299,3.7250646599070905,,COMPLETE
5,0.11477965314263062,2026-09-09 15:21:25.246404,2026-09-09 15:21:28.136016,0 days 00:00:02.889612,0.5686418934417491,0.28120172535016924,10,8,258,0.04474417800838346,5.405761146279805e-06,0.540729270545735,4.2104210065940775,,COMPLETE
6,0.10471433016994663,2026-09-09 15:21:28.136016,2026-09-09 15:21:36.442738,0 days 00:00:08.306722,0.8479072784177966,0.023815186802944328,10,12,784,3.3962963586827585e-08,0.19915436449494175,0.7194986213790668,3.7022283559729345,,COMPLETE
7,0.10481833006825744,2026-09-09 15:21:36.442738,2026-09-09 15:21:37.478345,0 days 00:00:01.035607,0.9357934290167752,0.2672341979077024,4,9,174,5.780019212727735e-07,2.0931581224547465e-07,0.9800424552164277,3.6910342865649395,,COMPLETE
8,0.10585921337016384,2026-09-09 15:21:37.479345,2026-09-09 15:21:42.293409,0 days 00:00:04.814064,0.824742254482524,0.16274259364158608,5,15,757,0.0001737833977088991,2.641548330555937,0.6191442202097622,3.768710633102018,,COMPLETE
9,0.1044011636091164,2026-09-09 15:21:42.293409,2026-09-09 15:21:46.724297,0 days 00:00:04.430888,0.5411581234005258,0.012475044567353929,7,5,583,3.676715611806762e-08,0.001932234981273935,0.9718661865435809,3.658072619438588,,COMPLETE
10,0.10467725194769635,2026-09-09 15:21:46.724297,2026-09-09 15:21:50.728308,0 days 00:00:04.004011,0.5828571683777154,0.010738671831366592,7,9,501,8.914688044753975e-06,9.461753681099364e-06,0.6949148769924466,3.6727876571747498,"{""colsample_bytree"": 0.5828571683777154, ""learning_rate"": 0.010738671831366592, ""max_depth"": 7, ""min_child_weight"": 9, ""n_estimators"": 501, ""reg_alpha"": 8.914688044753975e-06, ""reg_lambda"": 9.461753681099364e-06, ""subsample"": 0.6949148769924466}",COMPLETE
11,0.10407858495513453,2026-09-09 15:21:50.728308,2026-09-09 15:21:55.428865,0 days 00:00:04.700557,0.5873101184983085,0.026550332431261425,9,16,514,0.15114539691660941,0.020170219435128863,0.9313816054486383,3.658033396301372,"{""colsample_bytree"": 0.5873101184983085, ""learning_rate"": 0.026550332431261425, ""max_depth"": 9, ""min_child_weight"": 16, ""n_estimators"": 514, ""reg_alpha"": 0.15114539691660941, ""reg_lambda"": 0.020170219435128863, ""subsample"": 0.9313816054486383}",COMPLETE
12,0.10425211625268933,2026-09-09 15:21:55.428865,2026-09-09 15:22:01.875288,0 days 00:00:06.446423,0.6484329135530043,0.02140663092439847,10,11,569,0.213662812257862,0.0014383638008341778,0.9278048627124189,3.668757475384472,"{""colsample_bytree"": 0.6484329135530043, ""learning_rate"": 0.02140663092439847, ""max_depth"": 10, ""min_child_weight"": 11, ""n_estimators"": 569, ""reg_alpha"": 0.213662812257862, ""reg_lambda"": 0.0014383638008341778, ""subsample"": 0.9278048627124189}",COMPLETE
13,0.10471687316773884,2026-09-09 15:22:01.875288,2026-09-09 15:22:09.285822,0 days 00:00:07.410534,0.590329930226918,0.033361385377209174,10,14,740,1.2270229720166042,0.6233458721236662,0.860677003766203,3.702193183998028,"{""colsample_bytree"": 0.590329930226918, ""learning_rate"": 0.033361385377209174, ""max_depth"": 10, ""min_child_weight"": 14, ""n_estimators"": 740, ""reg_alpha"": 1.2270229720166042, ""reg_lambda"": 0.6233458721236662, ""subsample"": 0.860677003766203}",COMPLETE
14,0.10428456872640567,2026-09-09 15:22:09.286755,2026-09-09 15:22:14.652237,0 days 00:00:05.365482,0.7040112817312519,0.020203392745533708,9,10,537,0.001283853856553409,0.0010823218519298613,0.8671627288563967,3.665660958242697,"{""colsample_bytree"": 0.7040112817312519, ""learning_rate"": 0.020203392745533708, ""max_depth"": 9, ""min_child_weight"": 10, ""n_estimators"": 537, ""reg_alpha"": 0.001283853856553409, ""reg_lambda"": 0.0010823218519298613, ""subsample"": 0.8671627288563967}",COMPLETE
15,0.10402948620346131,2026-09-09 15:22:14.653250,2026-09-09 15:22:18.656919,0 days 00:00:04.003669,0.5967348172856108,0.03558794878290258,7,17,557,0.07318157239175498,0.029038432770244253,0.9683547039543347,3.648384153982869,"{""colsample_bytree"": 0.5967348172856108, ""learning_rate"": 0.03558794878290258, ""max_depth"": 7, ""min_child_weight"": 17, ""n_estimators"": 557, ""reg_alpha"": 0.07318157239175498, ""reg_lambda"": 0.029038432770244253, ""subsample"": 0.9683547039543347}",COMPLETE
16,0.10452000124245034,2026-09-09 15:22:18.657987,2026-09-09 15:22:22.277124,0 days 00:00:03.619137,0.549964867440789,0.013763376797208427,7,12,463,0.46440763269725027,0.0022692143440927893,0.9369396288847103,3.6641159239779433,"{""colsample_bytree"": 0.549964867440789, ""learning_rate"": 0.013763376797208427, ""max_depth"": 7, ""min_child_weight"": 12, ""n_estimators"": 463, ""reg_alpha"": 0.46440763269725027, ""reg_lambda"": 0.0022692143440927893, ""subsample"": 0.9369396288847103}",COMPLETE
17,0.10407794538089297,2026-09-09 15:22:22.278118,2026-09-09 15:22:27.538800,0 days 00:00:05.260682,0.6806459775559786,0.03680393030345198,8,20,681,0.09158651571525407,0.0874615004488047,0.9432026533019613,3.663086526789687,"{""colsample_bytree"": 0.6806459775559786, ""learning_rate"": 0.03680393030345198, ""max_depth"": 8, ""min_child_weight"": 20, ""n_estimators"": 681, ""reg_alpha"": 0.09158651571525407, ""reg_lambda"": 0.0874615004488047, ""subsample"": 0.9432026533019613}",COMPLETE
18,0.10420383995452746,2026-09-09 15:22:27.539798,2026-09-09 15:22:31.096816,0 days 00:00:03.557018,0.7452227982670749,0.06907085689690255,7,15,495,0.027365596051667867,1.496025182673997,0.953053290848242,3.6661603287531244,"{""colsample_bytree"": 0.7452227982670749, ""learning_rate"": 0.06907085689690255, ""max_depth"": 7, ""min_child_weight"": 15, ""n_estimators"": 495, ""reg_alpha"": 0.027365596051667867, ""reg_lambda"": 1.496025182673997, ""subsample"": 0.953053290848242}",COMPLETE
19,0.10404572071124374,2026-09-09 15:22:31.096816,2026-09-09 15:22:35.708412,0 days 00:00:04.611596,0.6661587146878596,0.02850750965605146,7,16,637,0.00980230148187484,0.05382422226529486,0.9581374576147899,3.649127994770938,"{""colsample_bytree"": 0.6661587146878596, ""learning_rate"": 0.02850750965605146, ""max_depth"": 7, ""min_child_weight"": 16, ""n_estimators"": 637, ""reg_alpha"": 0.00980230148187484, ""reg_lambda"": 0.05382422226529486, ""subsample"": 0.9581374576147899}",COMPLETE
