,0
ewma_7,0.51197064
rolling_mean_7,0.26512265
rolling_mean_14,0.13433355
rolling_mean_28,0.031767003
Base_Daily_Demand,0.0070750373
weekend,0.0068548815
lag_1,0.005063998
day_of_week,0.0047595506
month,0.0045439624
quarter,0.0040499168
Lead_Time,0.0028930097
week_of_year,0.0026934282
Unit_Cost,0.0020092293
Stockout_Penalty,0.001940219
lag_28,0.0015644598
lag_7,0.0014584515
lag_56,0.0013756615
lag_2,0.0013402393
Holding_Cost_Rate,0.0013331776
lag_14,0.0012758587
rolling_std_7,0.0012590047
rolling_std_28,0.0012274631
lag_3,0.001174256
Ordering_Cost,0.0011054983
Seasonality_Type,0.0010048671
Category,0.00080399687
